Номер БС,Адрес,Операторы 800 МГц,Операторы 1800 МГц,Операторы 2600 МГц,Широта,Долгота
301500,д. Гдень,"M, V, L",,,51.339527778,30.436111111
301538,"п. Старушки, дом 28, ул. Железнодорожная","M, V, L",,,52.252761111,28.145769444
301651,"г. Мозырь, бул. Юности, в р-не д. 129, 131",,"M, V, L","M, V",52.024622072,29.20633975
301695,"г. Мозырь, бул. Юности, в р-не, д. 79,81",,"M, V, L","M, V",52.02741796,29.214693052
301700,д. Нижние Жары,,"M, V, L",,51.294927778,30.56855
301704,"Петриковский р-н, д. Слобода",,"M, V, L",,52.189091667,28.496633333
301854,д. Колыбовка,"M, V, L",,,52.857639,30.1645
301900,"г. Добруш, ул. Гомельская, д. 51",,"M, V, L",,52.383883,31.338333
301901,"г. Мозырь, ОАО «Мозырьсоль»",,"M, V, L","M, V",52.004523911,29.216969324
301918,"г. Рогачев, ул. Щибринская","M, V, L",,,53.124893,30.058882
302066,"г. Мозырь, ул. Нефтестроителей, д. 26",,"M, V, L","M, V, L",52.039876212,29.206512806
302438,агрогордок Дворец,"M, V, L",,,53.098027778,29.728138889
302465,"г. Жлобин, Микрорайон-16, 7",,"M, V, L","M, V",52.903916667,30.040527778
302466,д. Солоное,,"M, V, L","M, V",52.850388889,30.007972222
302468,д. Красная Слобода,"M, V, L",,,52.978055556,29.8345
302470,"г. Гомель, ул. Юбилейная, 52",,"M, V, L","M, V, L",52.451961111,31.008538889
302471,"г. Гомель, ул. Жарковского, 24а",,"M, V, L","M, V, L",52.428848058,31.002566075
302472,"г. Гомель, ул. Бочкина, 182а",,"M, V, L","M, V, L",52.4275,30.952694444
302474,"г. Гомель, ул. Телегина, д. 23",,"M, V, L","M, V, L",52.442818028,30.991716571
302476,"г. Гомель, ул. Барыкина, 240",,"M, V, L",,52.424161111,30.914536111
302477,"г. Гомель, ул. Лепешинского, 1",,"M, V, L","M, V",52.474444649,31.000697025
302479,"г. Гомель, ул. Огаренко, 3",,"M, V, L","M, V, L",52.477027778,31.024722222
302480,"г. Гомель, ул. Севастопольская, 45",,"M, V, L",,52.392260915,31.027455312
302482,"г. Гомель, пр-т Октября, 1",,"M, V, L","M, V, L",52.410293257,30.971050274
302483,"г. Гомель, ул. Ефремова, 61",,"M, V, L","M, V, L",52.460511111,30.967277778
302485,"г. Гомель, ул. Косарева, 11",,"M, V, L",,52.409095998,30.921165071
302486,"г. Гомель, ул. Медицинская, 6",,"M, V, L","M, V",52.396422222,30.902794444
302487,"г. Гомель, ул. Мазурова, д. 12а",,"M, V, L",,52.447939065,31.019469137
302488,"г. Гомель, ул. Братьев Лизюковых, 5",,"M, V, L","M, V, L",52.401955727,30.952492131
302489,"г. Гомель, ул. Аграрная, д. 2",,"M, V, L",,52.489401005,30.972017196
302490,"г. Гомель, ул. Украинская, 8",,"M, V, L","M, V, L",52.426825822,30.990207714
302491,"г. Гомель, ул. Минская, 10",,"M, V, L","M, V, L",52.436314714,30.958117873
302492,"г. Гомель, ул. Богданова, 12, к. 2",,"M, V, L","M, V, L",52.454527778,30.972722222
302493,"г. Гомель, пр-т Октября, 56",,"M, V, L","M, V, L",52.406158868,30.931578735
302494,"г. Гомель, ул. Химзаводская, 10а",,"M, V, L",,52.433194395,30.877389051
302495,"г. Гомель, пр-т Октября, 38",,"M, V, L","M, V, L",52.406225002,30.948708189
302496,"г. Гомель, ул. Ильича, 98а",,"M, V, L","M, V, L",52.382478108,31.03033105
302497,"г. Гомель, 8-й пер. Ильича, 5",,"M, V, L","M, V, L",52.368233333,31.027502778
302695,д. Новые Журавичи,"M, V, L",,,53.230027778,30.578972222
302699,д. Гадиловичи,"M, V, L",,,53.072472222,30.278833333
302900,"г. Мозырь, ул. Пролетарская, 8",,"M, V, L","M, V, L",52.052397217,29.253588302
302901,"г. Мозырь, ул. Юрия Гагарина, 50а",,"M, V, L","M, V, L",52.028163889,29.219838889
302902,"г. Мозырь, ул. Пролетарская, 77",,"M, V, L","M, V, L",52.047398591,29.23988533
302903,"г. Мозырь, 1-й пер. Малинина, 1",,"M, V, L","M, V, L",52.036966667,29.192733333
302904,"г. Мозырь, ул. Янки Купалы, 26а",,"M, V, L","M, V",52.040111111,29.276916667
302905,"г. Калинковичи, ул. 50 лет Октября, 24",,"M, V, L","M, V, L",52.125944444,29.317972222
302906,"г. Мозырь, ул. В. Хоружей, 16Б",,"M, V, L","M, V, L",52.087958333,29.228852778
302907,"г. Калинковичи, ул. Князева, 4",,"M, V, L","M, V, L",52.132527778,29.342888889
302908,"г. Мозырь, ул. Крупской, 12",,"M, V, L","M, V, L",52.044441889,29.248362962
302909,"г. Мозырь, ул. Ульяновская, 22-37",,"M, V, L","M, V, L",52.035679348,29.23815345
302910,"г. Мозырь, ул. Социалистическая, 120А",,"M, V, L","M, V",52.078166667,29.199861111
302911,"г. Мозырь, б-р Дружбы, 16-а",,"M, V, L","M, V",52.029194444,29.245611111
302914,"г.  Речица, ул. Молодежная, 7",,"M, V, L","M, V",52.352692052,30.413229849
302915,"г. Речица, ул. Советская, 192",,"M, V, L","M, V, L",52.361916667,30.413083333
302929,"г. Мозырь, бул. Юности, 39б",,"M, V, L","M, V, L",52.031888889,29.223194444
302944,д. Романищи,"M, V, L",,,52.741583333,29.161138889
302949,д. Борки,"M, V, L",,,52.44825,28.4925
302962,д. Залесье,"M, V, L",,,52.892805556,30.996666667
302963,д. Рытов,"M, V, L",,,51.754583333,30.474361111
302964,"г. Мозырь, РУП Мозырский комбинат Этанол",,"M, V, L",,51.913154375,29.298422344
302966,"г. Добруш, ул. Лесная, 8",,"M, V, L",,52.400972222,31.336916667
302971,д. Шкава,"M, V, L",,,52.712527778,28.997861111
302972,н.п. Добрынь,"M, V, L",,,51.76233,29.18403
302973,агрогородок Буда Головчицкая,"M, V, L",,,51.747861111,29.298694444
302974,"д. Гажин, 67","M, V, L",,,51.658166667,29.209527778
302976,"г. Светлогорск, ул. Авиационная, 72",,"M, V, L",,52.638444423,29.719305693
302977,"г. Речица, ул. Советская, 80",,"M, V, L","M, V, L",52.367433333,30.394827778
302988,д. Высокое,"M, V, L",,,51.830944444,30.032166667
302989,д. Хоменки,"M, V, L",,,51.506611111,29.363333333
302990,агрогордок Неглюбка,"M, V, L",,,52.76225,31.525861111
302993,д. Антоновка,"M, V, L",,,52.724111111,29.797333333
302997,"д. Бережцы, ул. Советская, 36В","M, V, L",,,51.994825,27.634858333
303923,"Гомельская область, Петриковский р-н, г. Петриков, ул. Луначарского, д. 5",,"M, V, L","M, V",52.133412,28.485789
304015,"г. Мозырь, ул. Малинина, 34а",,"M, V, L","M, V, L",52.038025,29.199111111
304042,"г. Гомель, ул. Фрунзе, д. 9",,"M, V, L","M, V, L",52.41343,31.00536
304043,"г. Гомель, ул. 50 лет заводу Гомсельмаш, 16a",,"M, V, L",,52.44825,30.959419444
304047,"г. Гомель, ул. Базовая, д. 13",,"M, V, L",,52.434705743,30.912743457
304089,"г. Калинковичи, ул. 50 лет Октября, 52а",,"M, V, L","M, V",52.126238889,29.303061111
304172,"г. Мозырь, ул. Котловца, 35",,"M, V, L","M, V, L",52.024175099,29.24164593
304173,"г. Калинковичи, ул. Мира, 78/6",,"M, V, L","M, V",52.124719444,29.35275
304193,"г. Жлобин, ул. Шоссейная, 169",,"M, V, L",,52.883480556,30.002630556
304202,"г. Гомель, ул. Урицкого, д.85а",,"M, V, L",,52.386382,31.033004
304205,"г. Гомель, ул. Каменщикова, д. 3",,"M, V, L",,52.468578081,31.019241612
304206,"г. Гомель, ул. Хуторянкого, д. 35",,"M, V, L",,52.478804757,31.010799607
304237,"г. Мозырь, Мозырь-11, Мозырский НПЗ",,"M, V, L","M, V, L",51.901061111,29.328830556
304289,"г. Мозырь, ул. Котловца, 4",,"M, V, L","M, V, L",52.026688889,29.226469444
304328,"г. Калинковичи, ул. Ленина, 3",,"M, V, L","M, V",52.129,29.330861111
304346,"д. Красное, ул. Ленина, д. 6","M, V, L",,,51.50625,30.514472222
304348,"г. Гомель, ул. 8 Техническая, д. 2а",,"M, V, L","M, V, L",52.36309,31.02012
304349,"г. Светлогорск, ул. Дружбы, д. 4",,"M, V, L",,52.629542411,29.763045654
304456,"д. Игнато-Фабиановка, 37А","M, V, L",,,52.019611111,29.459277778
304460,"г. Жлобин, ул. Волкова, 1",,"M, V, L",,52.87225,30.023527778
304463,"г. Жлобин, ул. Матросова, 39",,"M, V, L","M, V",52.897305556,30.019222222
304465,"г. Жлобин, Микрорайон-2, 16",,"M, V, L","M, V, L",52.902277778,30.056861111
304468,"г. Калинковичи, ул. Октябрьская, 16-1",,"M, V, L","M, V, L",52.138611111,29.31725
304470,"г. Гомель, ул. Ланге, 17",,"M, V, L",,52.427811111,31.014602778
304471,"г. Гомель, ул. Интернациональная, 5",,"M, V, L","M, V",52.424330413,31.00720835
304473,"г. Гомель, ул. Ландышева, 17",,"M, V, L","M, V, L",52.445416667,31.002833333
304479,"г. Гомель, ул. Крестьянская, 22",,"M, V, L","M, V, L",52.426805588,31.009222151
304483,"г. Гомель, ул. Сухого, 16",,"M, V, L",,52.467166667,30.971
304484,"г. Гомель, ул. Киевская, 65",,"M, V, L",,52.434047222,30.976436111
